job_company,job_date,job_salary,job_title
宏達電 HTC Corporation_宏達國際電子股份有限公司,4/18,待遇面議,(RD S/W) Viveport - Frontend Lead - J01358
"華東科技股份有限公司(Walton Advanced Engineering, Inc.)",4/18,"月薪 38,000~45,000元",APP 開發工程師
悠實國際數位有限公司,4/18,"月薪 28,000~60,000元",樂高機器人/程式設計老師(儲備幹部)
凌群電腦股份有限公司,4/18,待遇面議,網路Presales
精誠資訊股份有限公司,4/18,待遇面議,技術經理-M128
圓剛科技股份有限公司,4/18,待遇面議,Embedded system 資深韌體開發工程師
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",軟體工程師(金控1)
鑫聯網國際認證股份有限公司,4/18,待遇面議,軟體設計維護工程師
日月光半導體製造股份有限公司,4/18,"月薪 30,000~60,000元",技術工程類 - 軟體設計工程師【高雄】
全景軟體股份有限公司,4/18,"月薪 32,000~50,000元",全端工程師(台北/新竹)
金貝科技有限公司,4/18,"月薪 32,000~34,000元",技術客服專員
碧波庭國際有限公司,4/18,"月薪 30,000~40,000元",初階資訊工程師
希伯崙股份有限公司(LiveABC互動英語集團),4/18,待遇面議,研發三處-系統工程師
坤巨資訊股份有限公司,4/18,"月薪 35,000~48,000元",IOS App 程式設計師（新創平台部門）
台北市私立何迦仁文理短期補習班,4/18,時薪 350~550元/小時,電腦遊戲編碼老師
宏達電 HTC Corporation_宏達國際電子股份有限公司,4/18,待遇面議,(RD S/W) Viveport - Backend Lead - J01359
白吃貓股份有限公司,4/18,"月薪 30,000~50,000元",android手機app開發工程師
精誠資訊股份有限公司,4/18,待遇面議,資安技術經理-M128
嘉成建材工業股份有限公司,4/18,"月薪 26,000~30,000元",板金技術員(儲備幹部)
Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,4/18,待遇面議,IT engineer
威碼資訊有限公司,4/18,待遇面議,資深PHP工程師
宏達電 HTC Corporation_宏達國際電子股份有限公司,4/18,待遇面議,(RD S/W) Viveport - Sr. Backend Engineer - J01190
日本寶宏株式會社,4/18,待遇面議,嵌入式軟體研發工程師(マイコン関連開発技術者)
圓剛科技股份有限公司,4/18,待遇面議,嵌入式系統開發工程師/資深工程師(台南)
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【MKTG】前端工程師/(Sr.) Front-End Engineer(中和)
艾陽科技股份有限公司,4/18,待遇面議,應用軟體資深工程師(AP)
原感室內空間設計有限公司,4/18,"月薪 30,000~50,000元",工程師-自動控制
萬國專利商標事務所,4/18,待遇面議,資訊專利資深工程師
新漢智能系統股份有限公司,4/18,"月薪 23,100~60,000元",(TR11-TB009) 軟體(高級)工程師
凌群電腦股份有限公司,4/18,待遇面議,資深軟體工程師(S1-台中)
倍利科技股份有限公司,4/18,待遇面議,演算法開發工程師(台中)
