job_company,job_date,job_salary,job_title
台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),4/18,待遇面議,"IT LEAD, SOFTWARE SERVICES"
捷宇科技有限公司,4/18,"月薪 24,000~25,000元",筆電維修客服工程師
聯寶電子股份有限公司,4/18,待遇面議,(研發處-IoT)iOS APP軟體工程師
宣揚電腦顧問股份有限公司,4/18,"月薪 30,000~42,000元",系統管理師
永慶房產集團_永慶房屋仲介股份有限公司,4/18,待遇面議,App開發工程師(iOS/Android) B12
和泰產物保險股份有限公司,4/18,待遇面議,2019/6/1和泰TOYOTA集團聯合招募會-資訊菁英人員
優得利有限公司,4/18,"月薪 25,000~28,000元",電腦駐廠工程師(新竹科學園區)
富惟工業股份有限公司,4/18,待遇面議,MIS 工程師
天賜爾生物科技股份有限公司,4/18,待遇面議,資訊管理師
翊悅科技有限公司,4/18,待遇面議,資料庫管理師DBA
翊悅科技有限公司,4/18,待遇面議,APP開發工程師
翊悅科技有限公司,4/18,待遇面議,System Designer系統設計師
翊悅科技有限公司,4/18,待遇面議,前端工程師
升鼎科技股份有限公司,4/18,"月薪 50,000~130,000元",前端工程師
萬寶華企業管理顧問股份有限公司,4/18,待遇面議,[知名外商Z] Software Engineer-Taiwan Device Farm - 105JP
創為人力資源有限公司,4/18,待遇面議,亞洲遊戲公司台灣技術團隊徵 【遊戲APP開發工程師】
宏達電 HTC Corporation_宏達國際電子股份有限公司,4/18,待遇面議,(RD S/W) Viveport - Frontend Lead - J01358
"華東科技股份有限公司(Walton Advanced Engineering, Inc.)",4/18,"月薪 38,000~45,000元",APP 開發工程師
同發安科研有限公司,4/18,待遇面議,客服IT工程師
虹光精密工業股份有限公司,4/18,"月薪 30,000~99,000元",軟體工程師(B)
凌群電腦股份有限公司,4/18,待遇面議,資深軟體工程師(證券)
裕榮食品股份有限公司,4/18,"月薪 40,000~45,000元",主辦會計/成本會計
凌群電腦股份有限公司,4/18,待遇面議,系統規劃經理(公用-技術支援)
日月光半導體製造股份有限公司,4/18,"月薪 30,000~60,000元",技術工程類 - CIM自動化工程師【高雄】
哈瑪星科技股份有限公司,4/18,"月薪 36,000~45,000元",網管工程師-台北(HN)
碧波庭國際有限公司,4/18,"月薪 30,000~40,000元",初階資訊工程師
約沛科技有限公司,4/18,時薪 250~600元/小時,React Native 兼職工程師（外包 SOHO 或 兼職）
諦諾科技股份有限公司,4/18,待遇面議,Backend Engineer 後端工程師
北祥股份有限公司,4/18,"月薪 35,000~50,000元",軟體設計師(創新部門)
凌群電腦股份有限公司,4/18,待遇面議,專案經理(6G)
凌群電腦股份有限公司,4/18,待遇面議,資深軟體工程師(電信專業)
宜特科技股份有限公司,4/18,"月薪 35,000~60,000元",CIM (資深)工程師
薩摩亞商志強國際企業股份有限公司台灣分公司,4/18,待遇面議,駐東南亞資訊系統管理師(MIS)
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【HW】(Sr.) Software Engineer(中和)
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【SW】SW Design Engineer(中和)-TC18014
同發安科研有限公司,4/18,待遇面議,.NET Senior Web Developers
新加坡商合眾科技顧問有限公司台灣分公司,4/18,"月薪 50,000~100,000元",Java 系統程式設計師
悠實國際數位有限公司,4/18,"月薪 28,000~60,000元",樂高機器人/程式設計老師(儲備幹部)
凌群電腦股份有限公司,4/18,待遇面議,網路Presales
信星鞋業_英屬維京群島商伯星國際股份有限公司台灣分公司,4/18,待遇面議,網管工程師
寶迅科技股份有限公司,4/18,待遇面議,多媒體視訊程式開發
圓剛科技股份有限公司,4/18,待遇面議,AI影像演算法工程師(台南)
凌群電腦股份有限公司,4/18,待遇面議,系統規劃經理(醫療-技術支援)
日月光半導體製造股份有限公司,4/18,"月薪 31,000~60,000元",技術工程類 - RF工程師【高雄】
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",系統分析師(證券)
五角科技股份有限公司,4/18,"月薪 25,000~30,000元",視訊工程師
Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,4/18,待遇面議,SAP Consultant (Taichung)
銓宜科技有限公司,4/18,待遇面議,軟體平台開發與應用工程師
倍利科技股份有限公司,4/18,待遇面議,軟體開發主管/技術主管(台北)
國泰世紀產物保險股份有限公司,4/18,"月薪 37,000~70,000元",系統分析師
凌群電腦股份有限公司,4/18,待遇面議,資深軟體工程師(V0-台北)
倍利科技股份有限公司,4/18,待遇面議,軟體開發主管/技術主管(新竹)
倍利科技股份有限公司,4/18,待遇面議,演算法開發主管/技術主管(台北)
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",資深系統工程師(產品推展處)
Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,4/18,待遇面議,MO Analyst - Container Platform + Big Data (Taichung/Tainan)
全景軟體股份有限公司,4/18,"月薪 32,000~50,000元",技術專案工程師(台北/新竹)
翊悅科技有限公司,4/18,待遇面議,雲端PBX顧問3CX
哈瑪星科技股份有限公司,4/18,"月薪 33,000~45,000元",iOS. Android APP 程式設計師-高雄 (HN)
美商連科股份有限公司,4/18,"月薪 60,000~90,000元",軟體工程師 (Python)
國立臺灣師範大學_高等教育深耕計畫辦公室,4/18,待遇面議,ASP.NET 程式設計師
